Mon Dec  1 14:56:23 2025 - ALERT: CPU: 0.0%, Disk: 100%
Mon Dec  1 14:56:30 2025 - ALERT: CPU: 0.0%, Disk: 100%
Mon Dec  1 14:56:53 2025 - ALERT: CPU: 0.0%, Disk: 100%
Mon Dec  1 14:57:00 2025 - ALERT: CPU: 0.0%, Disk: 100%
Mon Dec  1 14:57:07 2025 - ALERT: CPU: 1.5%, Disk: 100%
Mon Dec  1 14:57:14 2025 - ALERT: CPU: 0.0%, Disk: 100%
Mon Dec  1 14:57:21 2025 - ALERT: CPU: 0.0%, Disk: 100%
Mon Dec  1 14:57:28 2025 - ALERT: CPU: 1.5%, Disk: 100%
Mon Dec  1 14:57:35 2025 - ALERT: CPU: 0.0%, Disk: 100%
Mon Dec  1 14:57:42 2025 - ALERT: CPU: 0.0%, Disk: 100%
Mon Dec  1 14:57:49 2025 - ALERT: CPU: 0.0%, Disk: 100%
Mon Dec  1 14:57:56 2025 - ALERT: CPU: 0.0%, Disk: 100%
Mon Dec  1 14:58:03 2025 - ALERT: CPU: 0.0%, Disk: 100%
Mon Dec  1 14:58:10 2025 - ALERT: CPU: 0.0%, Disk: 100%
Mon Dec  1 14:58:17 2025 - ALERT: CPU: 0.0%, Disk: 100%
Mon Dec  1 14:58:24 2025 - ALERT: CPU: 0.0%, Disk: 100%
Mon Dec  1 14:58:31 2025 - ALERT: CPU: 0.0%, Disk: 100%
