[2025/11/26 11:58:20.225713][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2101(43), flags 0x1003(0x0), MTU 9214, master 20107, table 0
[2025/11/26 11:58:20.226824][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2103(41), flags 0x1003(0x0), MTU 9214, master 20109, table 0
[2025/11/26 11:58:20.227299][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2104(40), flags 0x1003(0x0), MTU 9214, master 20110, table 0
[2025/11/26 11:58:20.227743][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2105(39), flags 0x1003(0x0), MTU 9214, master 20111, table 0
[2025/11/26 11:58:20.228311][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2106(38), flags 0x1003(0x0), MTU 9214, master 20112, table 0
[2025/11/26 11:58:20.228832][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2107(37), flags 0x1003(0x0), MTU 9214, master 20113, table 0
[2025/11/26 11:58:20.229390][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2108(36), flags 0x1003(0x0), MTU 9214, master 20114, table 0
[2025/11/26 11:58:20.229913][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2109(35), flags 0x1003(0x0), MTU 9214, master 20115, table 0
[2025/11/26 11:58:20.230415][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2110(34), flags 0x1003(0x0), MTU 9214, master 20116, table 0
[2025/11/26 11:58:20.231000][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2111(33), flags 0x1003(0x0), MTU 9214, master 20117, table 0
[2025/11/26 11:58:20.231455][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2112(32), flags 0x1003(0x0), MTU 9214, master 20118, table 0
[2025/11/26 11:58:20.231915][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2113(31), flags 0x1003(0x0), MTU 9214, master 20119, table 0
[2025/11/26 11:58:20.232406][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2114(30), flags 0x1003(0x0), MTU 9214, master 20120, table 0
[2025/11/26 11:58:20.232890][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2115(29), flags 0x1003(0x0), MTU 9214, master 20121, table 0
[2025/11/26 11:58:20.233451][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2116(28), flags 0x1003(0x0), MTU 9214, master 20122, table 0
[2025/11/26 11:58:20.233905][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2117(27), flags 0x1003(0x0), MTU 9214, master 20123, table 0
[2025/11/26 11:58:20.234370][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2118(26), flags 0x1003(0x0), MTU 9214, master 20124, table 0
[2025/11/26 11:58:20.234862][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2119(25), flags 0x1003(0x0), MTU 9214, master 20125, table 0
[2025/11/26 11:58:20.235355][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2120(24), flags 0x1003(0x0), MTU 9214, master 20126, table 0
[2025/11/26 11:58:20.235856][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2121(23), flags 0x1003(0x0), MTU 9214, master 20127, table 0
[2025/11/26 11:58:20.236421][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2122(22), flags 0x1003(0x0), MTU 9214, master 20128, table 0
[2025/11/26 11:58:20.236885][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2123(21), flags 0x1003(0x0), MTU 9214, master 20129, table 0
[2025/11/26 11:58:20.237372][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2124(20), flags 0x1003(0x0), MTU 9214, master 20130, table 0
[2025/11/26 11:58:20.237970][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2125(19), flags 0x1003(0x0), MTU 9214, master 20131, table 0
