[2025/11/26 11:58:20.154604][ERROR][NL] [2147489447] ADD: Interface  vlan2053(20059), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.157672][ERROR][NL] [2147489447] ADD: Interface  vlan2054(20060), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.160725][ERROR][NL] [2147489447] ADD: Interface  vlan2055(20061), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.163863][ERROR][NL] [2147489447] ADD: Interface  vlan2056(20062), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.167141][ERROR][NL] [2147489447] ADD: Interface  vlan2057(20063), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.170371][ERROR][NL] [2147489447] ADD: Interface  vlan2058(20064), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.173584][ERROR][NL] [2147489447] ADD: Interface  vlan2059(20065), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.176763][ERROR][NL] [2147489447] ADD: Interface  vlan2060(20066), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.179946][ERROR][NL] [2147489447] ADD: Interface  vlan2061(20067), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.183121][ERROR][NL] [2147489447] ADD: Interface  vlan2062(20068), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.186348][ERROR][NL] [2147489447] ADD: Interface  vlan2063(20069), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.189564][ERROR][NL] [2147489447] ADD: Interface  vlan2064(20070), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.192761][ERROR][NL] [2147489447] ADD: Interface  vlan2065(20071), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.195960][ERROR][NL] [2147489447] ADD: Interface  vlan2066(20072), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.199147][ERROR][NL] [2147489447] ADD: Interface  vlan2067(20073), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.202328][ERROR][NL] [2147489447] ADD: Interface  vlan2068(20074), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.205527][ERROR][NL] [2147489447] ADD: Interface  vlan2069(20075), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.208701][ERROR][NL] [2147489447] ADD: Interface  vlan2070(20076), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.211899][ERROR][NL] [2147489447] ADD: Interface  vlan2071(20077), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.215066][ERROR][NL] [2147489447] ADD: Interface  vlan2072(20078), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.218235][ERROR][NL] [2147489447] ADD: Interface  vlan2073(20079), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.221514][ERROR][NL] [2147489447] ADD: Interface  vlan2074(20080), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.224713][ERROR][NL] [2147489447] ADD: Interface  vlan2075(20081), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.225224][ERROR][NL] [2147489447] ADD: Interface  bond1.2100(44), flags 0x1003(0x0), MTU 9214, master 20106, table 0
