[2025/11/26 11:58:20.154604][ERROR][NL] [2147489447] ADD: Interface  vlan2053(20059), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.157672][ERROR][NL] [2147489447] ADD: Interface  vlan2054(20060), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.160725][ERROR][NL] [2147489447] ADD: Interface  vlan2055(20061), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.163863][ERROR][NL] [2147489447] ADD: Interface  vlan2056(20062), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.167141][ERROR][NL] [2147489447] ADD: Interface  vlan2057(20063), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.170371][ERROR][NL] [2147489447] ADD: Interface  vlan2058(20064), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.173584][ERROR][NL] [2147489447] ADD: Interface  vlan2059(20065), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.176763][ERROR][NL] [2147489447] ADD: Interface  vlan2060(20066), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.179946][ERROR][NL] [2147489447] ADD: Interface  vlan2061(20067), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.183121][ERROR][NL] [2147489447] ADD: Interface  vlan2062(20068), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.186348][ERROR][NL] [2147489447] ADD: Interface  vlan2063(20069), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.189564][ERROR][NL] [2147489447] ADD: Interface  vlan2064(20070), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.192761][ERROR][NL] [2147489447] ADD: Interface  vlan2065(20071), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.195960][ERROR][NL] [2147489447] ADD: Interface  vlan2066(20072), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.199147][ERROR][NL] [2147489447] ADD: Interface  vlan2067(20073), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.202328][ERROR][NL] [2147489447] ADD: Interface  vlan2068(20074), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.205527][ERROR][NL] [2147489447] ADD: Interface  vlan2069(20075), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.208701][ERROR][NL] [2147489447] ADD: Interface  vlan2070(20076), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.211899][ERROR][NL] [2147489447] ADD: Interface  vlan2071(20077), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.215066][ERROR][NL] [2147489447] ADD: Interface  vlan2072(20078), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.218235][ERROR][NL] [2147489447] ADD: Interface  vlan2073(20079), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.221514][ERROR][NL] [2147489447] ADD: Interface  vlan2074(20080), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.224713][ERROR][NL] [2147489447] ADD: Interface  vlan2075(20081), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:20.225224][ERROR][NL] [2147489447] ADD: Interface  bond1.2100(44), flags 0x1003(0x0), MTU 9214, master 20106, table 0
[2025/11/26 11:58:20.225713][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2101(43), flags 0x1003(0x0), MTU 9214, master 20107, table 0
[2025/11/26 11:58:20.226237][CEITICAL][NL] [2147489447] ADD: Interface  bond1.2102(42), flags 0x1003(0x0), MTU 9214, master 20108, table 0
[2025/11/26 11:58:20.226824][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2103(41), flags 0x1003(0x0), MTU 9214, master 20109, table 0
[2025/11/26 11:58:20.227299][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2104(40), flags 0x1003(0x0), MTU 9214, master 20110, table 0
[2025/11/26 11:58:20.227743][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2105(39), flags 0x1003(0x0), MTU 9214, master 20111, table 0
[2025/11/26 11:58:20.228311][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2106(38), flags 0x1003(0x0), MTU 9214, master 20112, table 0
[2025/11/26 11:58:20.228832][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2107(37), flags 0x1003(0x0), MTU 9214, master 20113, table 0
[2025/11/26 11:58:20.229390][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2108(36), flags 0x1003(0x0), MTU 9214, master 20114, table 0
[2025/11/26 11:58:20.229913][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2109(35), flags 0x1003(0x0), MTU 9214, master 20115, table 0
[2025/11/26 11:58:20.230415][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2110(34), flags 0x1003(0x0), MTU 9214, master 20116, table 0
[2025/11/26 11:58:20.231000][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2111(33), flags 0x1003(0x0), MTU 9214, master 20117, table 0
[2025/11/26 11:58:20.231455][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2112(32), flags 0x1003(0x0), MTU 9214, master 20118, table 0
[2025/11/26 11:58:20.231915][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2113(31), flags 0x1003(0x0), MTU 9214, master 20119, table 0
[2025/11/26 11:58:20.232406][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2114(30), flags 0x1003(0x0), MTU 9214, master 20120, table 0
[2025/11/26 11:58:20.232890][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2115(29), flags 0x1003(0x0), MTU 9214, master 20121, table 0
[2025/11/26 11:58:20.233451][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2116(28), flags 0x1003(0x0), MTU 9214, master 20122, table 0
[2025/11/26 11:58:20.233905][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2117(27), flags 0x1003(0x0), MTU 9214, master 20123, table 0
[2025/11/26 11:58:20.234370][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2118(26), flags 0x1003(0x0), MTU 9214, master 20124, table 0
[2025/11/26 11:58:20.234862][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2119(25), flags 0x1003(0x0), MTU 9214, master 20125, table 0
[2025/11/26 11:58:20.235355][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2120(24), flags 0x1003(0x0), MTU 9214, master 20126, table 0
[2025/11/26 11:58:20.235856][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2121(23), flags 0x1003(0x0), MTU 9214, master 20127, table 0
[2025/11/26 11:58:20.236421][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2122(22), flags 0x1003(0x0), MTU 9214, master 20128, table 0
[2025/11/26 11:58:20.236885][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2123(21), flags 0x1003(0x0), MTU 9214, master 20129, table 0
[2025/11/26 11:58:20.237372][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2124(20), flags 0x1003(0x0), MTU 9214, master 20130, table 0
[2025/11/26 11:58:20.237970][CRITICAL][NL] [2147489447] ADD: Interface  bond1.2125(19), flags 0x1003(0x0), MTU 9214, master 20131, table 0
[2025/11/26 11:58:21.002817][DEBUG][NL] [2147489447] ADD: Interface  vlan2076(20082), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.006120][DEBUG][NL] [2147489447] ADD: Interface  vlan2077(20083), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.009332][DEBUG][NL] [2147489447] ADD: Interface  vlan2078(20084), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.012518][DEBUG][NL] [2147489447] ADD: Interface  vlan2079(20085), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.015731][DEBUG][NL] [2147489447] ADD: Interface  vlan2080(20086), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.018877][DEBUG][NL] [2147489447] ADD: Interface  vlan2081(20087), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.021949][DEBUG][NL] [2147489447] ADD: Interface  vlan2082(20088), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.025314][DEBUG][NL] [2147489447] ADD: Interface  vlan2083(20089), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.028479][DEBUG][NL] [2147489447] ADD: Interface  vlan2084(20090), flags 0x1003(0x0), MTU 9214, master 0, table 0
[2025/11/26 11:58:21.031631][DEBUG][NL] [2147489447] ADD: Interface  vlan2085(20091), flags 0x1003(0x0), MTU 9214, master 0, table 0
